"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.002351667E-1,8.625401398E-2,2.083832176E-1,-9.866357803E-2,2.461662486E-1
9.102631666E-1,-7.504575582E-2,8.949653260E-2,-7.579160929E-2,1.392331241E-1
9.202901666E-1,1.764221450E-3,-2.360447869E-3,-8.465072572E-2,8.470200444E-2
9.303171666E-1,-3.173930098E-2,-1.648593217E-1,-6.190973461E-2,1.789379625E-1
9.403451666E-1,-8.086462618E-2,-3.848246310E-1,-1.940340042E-2,3.937074756E-1
9.503721666E-1,-1.282443497E-1,-4.303086597E-1,4.694729447E-3,4.490369655E-1
9.603991666E-1,2.876335143E-2,-8.093540490E-2,-7.165528893E-2,1.118586187E-1
9.704271666E-1,-8.786194347E-2,3.289762663E-1,-1.212320763E-1,3.614447693E-1
9.804541667E-1,-5.293465692E-1,4.260289730E-1,-3.277832150E-2,6.802814818E-1
9.904811666E-1,-1.341006285E-1,2.329636331E-1,3.641879797E-2,2.712588464E-1
1.000509167E0,8.454227449E-1,1.704553264E-1,-1.873751950E-1,8.825554371E-1
1.010536167E0,-2.150248003E-2,1.278466659E-1,-9.429570794E-2,1.603084750E-1
1.020563167E0,-4.247475557E-1,7.710145868E-2,-5.192912221E-2,4.348008219E-1
1.030591167E0,4.480991331E-2,-1.249285398E-1,-1.884253550E-1,2.304759918E-1
1.040618167E0,3.169286997E-1,-3.483817498E-1,-1.114029068E-1,4.839672013E-1
1.050645167E0,4.766502558E-1,-6.635108958E-1,-1.020754284E-1,8.233234894E-1
1.060673167E0,9.871867890E-3,-9.532923254E-1,-2.048162699E-2,9.535634266E-1
1.070700167E0,1.366093033E-1,-7.005910139E-1,2.750033230E-1,7.649292112E-1
1.080727167E0,5.796883551E-1,-4.870847948E-1,-2.868994832E-2,7.577026459E-1
1.090755167E0,-6.855202541E-1,-4.818498192E-1,-2.284021837E-1,8.684957251E-1
1.100782167E0,2.675633623E-1,-3.755140364E-1,-1.522562331E-1,4.855748191E-1
1.110809167E0,3.963042502E-1,-2.461332073E-1,-1.498653066E-1,4.899981884E-1
1.120837167E0,-2.895503001E-1,-2.075974980E-1,-9.930911064E-2,3.698626731E-1
1.130864167E0,1.022263505E-1,1.417565049E0,7.590913832E-2,1.423271967E0
1.140891167E0,-3.173528056E-1,7.009785381E-1,2.297376877E-1,8.030336974E-1
1.150919167E0,-2.014731928E-2,2.967264600E-1,-2.229028773E-1,3.716694758E-1
1.160946167E0,1.188627114E-1,1.470505301E-2,-8.996409059E-2,1.497935925E-1
1.170973417E0,2.369936072E-1,-3.919301675E-1,-2.615243214E-1,5.274184266E-1
1.181001417E0,-3.037673482E-1,-6.211106155E-2,2.489288342E-1,3.976153295E-1
1.191028417E0,1.021290218E-1,-1.070397875E-1,-1.744154263E-1,2.287107215E-1
1.201055417E0,2.086447891E-1,-2.802874152E-1,-1.119542992E-1,3.669161325E-1
1.211082417E0,1.212898358E-1,2.237597502E-1,-7.727270901E-2,2.659900781E-1
1.221110417E0,-2.949837522E-1,1.657107859E-1,-3.647843957E-2,3.403030344E-1
